name,types,power,Category,acc,pp,efect
Aeroblast,Flying,100,special,95,5,High critical hit ratio.
Ancient Power,Rock,60,special,100,5,May raise all user's stats at once.
Attract,Normal,—,status,100,15,"If opponent is the opposite gender, it's less likely to attack."
Baton Pass,Normal,—,status,—,40,User switches out and gives stat changes to the incoming Pokémon.
Beat Up,Dark,—,physical,100,10,Each Pokémon in user's party attacks.
Belly Drum,Normal,—,status,—,10,"User loses 50% of its max HP, but Attack raises to maximum."
Bone Rush,Ground,25,physical,90,10,Hits 2-5 times in one turn.
Charm,Fairy,—,status,100,20,Sharply lowers opponent's Attack.
Conversion 2,Normal,—,status,—,30,User changes type to become resistant to opponent's last move.
Cotton Spore,Grass,—,status,100,40,Sharply lowers opponent's Speed.
Cross Chop,Fighting,100,physical,80,5,High critical hit ratio.
Crunch,Dark,80,physical,100,15,May lower opponent's Defense.
Curse,Ghost,—,status,—,10,"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed."
Destiny Bond,Ghost,—,status,—,5,"If the user faints, the opponent also faints."
Detect,Fighting,—,status,—,5,"Protects the user, but may fail if used consecutively."
Dragon Breath,Dragon,60,special,100,20,May paralyze opponent.
Dynamic Punch,Fighting,100,physical,50,5,Confuses opponent.
Encore,Normal,—,status,100,5,Forces opponent to keep using its last move for 3 turns.
Endure,Normal,—,status,—,10,"Always left with at least 1 HP, but may fail if used consecutively."
Extreme Speed,Normal,80,physical,100,5,User attacks first.
False Swipe,Normal,40,physical,100,40,Always leaves opponent with at least 1 HP.
Feint Attack,Dark,60,physical,-1,20,Ignores Accuracy and Evasiveness.
Flail,Normal,—,physical,100,15,"The lower the user's HP, the higher the power."
Flame Wheel,Fire,60,physical,100,25,May burn opponent.
Foresight,Normal,—,status,—,40,"Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts."
Frustration,Normal,—,physical,100,20,Power decreases with higher Friendship.
Fury Cutter,Bug,40,physical,95,20,Power increases each turn.
Future Sight,Psychic,120,special,100,10,Damage occurs 2 turns later.
Giga Drain,Grass,75,special,100,10,User recovers half the HP inflicted on opponent.
Heal Bell,Normal,—,status,—,5,Heals the user's party's status conditions.
Hidden Power,Normal,60,special,100,15,Type and power depends on user's IVs.
Icy Wind,Ice,55,special,95,15,Lowers opponent's Speed.
Iron Tail,Steel,100,physical,75,15,May lower opponent's Defense.
Lock-On,Normal,—,status,—,5,User's next attack is guaranteed to hit.
Mach Punch,Fighting,40,physical,100,30,User attacks first.
Magnitude,Ground,—,physical,100,30,Hits with random power.
Mean Look,Normal,—,status,—,5,Opponent cannot flee or switch.
Megahorn,Bug,120,physical,85,10,
Metal Claw,Steel,50,physical,95,35,May raise user's Attack.
Milk Drink,Normal,—,status,—,5,User recovers half its max HP.
Mind Reader,Normal,—,status,—,5,User's next attack is guaranteed to hit.
