name,types,power,Category,acc,pp,efect
"10,000,000 Volt Thunderbolt",Electric,195,special,—,1,Pikachu-exclusive Z-Move. High critical hit ratio.
Accelerock,Rock,40,physical,100,20,User attacks first.
Acid Downpour,Poison,—,,—,1,Poison type Z-Move.
All-Out Pummeling,Fighting,—,,—,1,Fighting type Z-Move.
Anchor Shot,Steel,80,physical,100,20,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.
Aurora Veil,Ice,—,status,—,20,Halves damage from Physical and Special attacks for five turns.
Baddy Bad,Dark,90,special,100,15,Reduces damage from Physical attacks.
Baneful Bunker,Poison,—,status,—,10,Protects the user and poisons opponent on contact.
Beak Blast,Flying,100,physical,100,15,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn."
Black Hole Eclipse,Dark,—,,—,1,Dark type Z-Move.
Bloom Doom,Grass,—,,—,1,Grass type Z-Move.
Bouncy Bubble,Water,90,special,100,15,User recovers half the HP inflicted on opponent.
Breakneck Blitz,Normal,—,,—,1,Normal type Z-Move.
Brutal Swing,Dark,60,physical,100,20,The user swings its body around violently to inflict damage on everything in its vicinity.
Burn Up,Fire,130,special,100,5,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type."
Buzzy Buzz,Electric,90,special,100,15,Paralyzes the opponent.
Catastropika,Electric,210,physical,—,1,Pikachu-exclusive Z-Move.
Clanging Scales,Dragon,110,special,100,5,Lowers user's Defense.
Clangorous Soulblaze,Dragon,185,special,—,1,Kommo-o exclusive Z-Move.
Continental Crush,Rock,—,,—,1,Rock type Z-Move.
Core Enforcer,Dragon,100,special,100,10,Suppresses the target's ability if the target has already moved.
Corkscrew Crash,Steel,—,,—,1,Steel type Z-Move.
Darkest Lariat,Dark,85,physical,100,10,Ignores opponent's stat changes.
Devastating Drake,Dragon,—,,—,1,Dragon type Z-Move.
Double Iron Bash,Steel,60,physical,100,5,Hits twice in one turn; may cause flinching.
Dragon Hammer,Dragon,90,physical,100,15,The user uses its body like a hammer to attack the target and inflict damage.
Extreme Evoboost,Normal,—,status,—,1,Eevee-exclusive Z-Move. Sharply raises all stats.
Fire Lash,Fire,80,physical,100,15,The user strikes the target with a burning lash. This also lowers the target's Defense stat.
First Impression,Bug,90,physical,100,10,"Although this move has great power, it only works the first turn the user is in battle."
Fleur Cannon,Fairy,130,special,90,5,Sharply lowers user's Special Attack.
Floaty Fall,Flying,90,physical,95,15,May cause flinching.
Floral Healing,Fairy,—,status,—,10,The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.
Freezy Frost,Ice,90,special,100,15,Resets all stat changes.
Gear Up,Steel,—,status,—,20,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.
Genesis Supernova,Psychic,185,special,—,1,Mew-exclusive Z-Move.
Gigavolt Havoc,Electric,—,,—,1,Electric type Z-Move.
Glitzy Glow,Psychic,90,special,100,15,Reduces damage from Special attacks.
Guardian of Alola,Fairy,—,special,—,1,Tapu-exclusive Z-move. Cuts opponent's HP by 75%.
High Horsepower,Ground,95,physical,95,10,The user fiercely attacks the target using its entire body.
Hydro Vortex,Water,—,,—,1,Water type Z-Move.
Ice Hammer,Ice,100,physical,90,10,"The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however."
Inferno Overdrive,Fire,—,,—,1,Fire type Z-Move.
Instruct,Psychic,—,status,—,15,Allows an ally to use a move instead.
Laser Focus,Normal,—,status,—,30,User's next attack is guaranteed to result in a critical hit.
Leafage,Grass,40,physical,100,40,Strikes opponent with leaves.
Let's Snuggle Forever,Fairy,190,physical,—,1,Mimikyu-exclusive Z-Move.
Light That Burns the Sky,Psychic,200,special,—,1,Ultra Necrozma-exclusive Z-Move. Ignores target's ability; uses highest Attack stat.
Liquidation,Water,85,physical,100,10,May lower opponent's Defense.
Lunge,Bug,80,physical,100,15,"The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat."
Malicious Moonsault,Dark,180,physical,—,1,Incineroar-exclusive Z-Move.
Menacing Moonraze Maelstrom,Ghost,200,special,—,1,Lunala-exclusive Z-Move.
Mind Blown,Fire,150,special,100,5,User receives recoil damage.
Moongeist Beam,Ghost,100,special,100,5,Ignores the target's ability.
Multi-Attack,Normal,120,physical,100,10,Type matches Memory item held.
Nature's Madness,Fairy,—,special,90,10,Halves the foe's HP.
Never-Ending Nightmare,Ghost,—,,—,1,Ghost type Z-Move.
Oceanic Operetta,Water,195,special,—,1,Primarina-exclusive Z-Move.
Photon Geyser,Psychic,100,special,100,5,"Uses Attack or Special Attack stat, whichever is higher."
Pika Papow,Electric,—,special,-1,20,Power increases when player's bond is stronger.
Plasma Fists,Electric,100,physical,100,15,Changes Normal-type moves to Electric-type moves.
Pollen Puff,Bug,90,special,100,15,Deals damage to opponent or restores HP of teammate.
Power Trip,Dark,20,physical,100,10,"The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power."
Prismatic Laser,Psychic,160,special,100,10,The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.
Psychic Fangs,Psychic,85,physical,100,10,The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.
Psychic Terrain,Psychic,—,status,—,10,Prevents priority moves from being used for 5 turns.
Pulverizing Pancake,Normal,210,physical,—,1,Snorlax-exclusive Normal type Z-Move.
Purify,Poison,—,status,—,20,"The user heals the target's status condition. If the move succeeds, it also restores the user's own HP."
Revelation Dance,Normal,90,special,100,15,Type changes based on Oricorio's form.
Sappy Seed,Grass,90,physical,100,15,Drains HP from opponent each turn.
Savage Spin-Out,Bug,—,,—,1,Bug type Z-Move.
Searing Sunraze Smash,Steel,200,physical,—,1,Solgaleo-exclusive Z-Move.
Shadow Bone,Ghost,85,physical,100,10,May lower opponent's Defense.
Shattered Psyche,Psychic,—,,—,1,Psychic type Z-Move.
Shell Trap,Fire,150,special,100,5,Deals more damage to opponent if hit by a Physical move.
Shore Up,Ground,—,status,—,5,The user regains up to half of its max HP. It restores more HP in a sandstorm.
Sinister Arrow Raid,Ghost,180,physical,—,1,Decidueye-exclusive Z-Move.
Sizzly Slide,Fire,90,physical,100,15,Burns the opponent.
Smart Strike,Steel,70,physical,—,10,The user stabs the target with a sharp horn. This attack never misses.
Solar Blade,Grass,125,physical,100,10,"Charges on first turn, attacks on second."
Soul-Stealing 7-Star Strike,Ghost,195,physical,—,1,Marshadow-exclusive Z-Move.
Sparkling Aria,Water,90,special,100,10,Heals the burns of its target.
Sparkly Swirl,Fairy,90,special,100,15,Cures all status problems in the party Pokémon.
Spectral Thief,Ghost,90,physical,100,10,"The user hides in the target's shadow, steals the target's stat boosts, and then attacks."
Speed Swap,Psychic,—,status,—,10,The user exchanges Speed stats with the target.
Spirit Shackle,Ghost,80,physical,100,10,Prevents the opponent from switching out.
Splintered Stormshards,Rock,190,physical,—,1,Lycanroc-exclusive Z-Move.
Splishy Splash,Water,90,special,100,15,May paralyze opponent.
Spotlight,Normal,—,status,—,15,The user shines a spotlight on the target so that only the target will be attacked during the turn.
Stoked Sparksurfer,Electric,175,special,—,1,Alolan Raichu-exclusive Electric type Z-Move.
Stomping Tantrum,Ground,75,physical,100,10,"Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles."
Strength Sap,Grass,—,status,100,10,The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.
Subzero Slammer,Ice,—,,—,1,Ice type Z-Move.
Sunsteel Strike,Steel,100,physical,100,5,Ignores the target's ability.
Supersonic Skystrike,Flying,—,,—,1,Flying type Z-Move.
Tearful Look,Normal,—,status,—,20,The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.
Tectonic Rage,Ground,—,,—,1,Ground type Z-Move.
Throat Chop,Dark,80,physical,100,15,Prevents use of sound moves for two turns.
Toxic Thread,Poison,—,status,100,20,Poisons opponent and lowers its Speed.
Trop Kick,Grass,70,physical,100,15,Lowers opponent's Attack.
Twinkle Tackle,Fairy,—,,—,1,Fairy type Z-Move.
Veevee Volley,Normal,—,physical,-1,20,Power increases when player's bond is stronger.
Zing Zap,Electric,80,physical,100,10,May cause flinching.
Zippy Zap,Electric,50,physical,100,15,Always results in a critical hit.
