pokedex_id,language,name 
0001,English,Bulbasaur
0001,Japanese,フシギダネ (Fushigidane)
0001,German,Bisasam
0001,French,Bulbizarre
0001,Italian,Bulbasaur
0001,Spanish,Bulbasaur
0001,Korean,이상해씨 (isanghaessi)
0001,Chinese (Simplified),妙蛙种子
0001,Chinese (Traditional),妙蛙種子
0002,English,Ivysaur
0002,Japanese,フシギソウ (Fushigisou)
0002,German,Bisaknosp
0002,French,Herbizarre
0002,Italian,Ivysaur
0002,Spanish,Ivysaur
0002,Korean,이상해풀 (isanghaepul)
0002,Chinese (Simplified),妙蛙草
0002,Chinese (Traditional),妙蛙草
0003,English,Venusaur
0003,Japanese,フシギバナ (Fushigibana)
0003,German,Bisaflor
0003,French,Florizarre
0003,Italian,Venusaur
0003,Spanish,Venusaur
0003,Korean,이상해꽃 (isanghaekkot)
0003,Chinese (Simplified),妙蛙花
0003,Chinese (Traditional),妙蛙花
0003,English,Venusaur
0003,Japanese,フシギバナ (Fushigibana)
0003,German,Bisaflor
0003,French,Florizarre
0003,Italian,Venusaur
0003,Spanish,Venusaur
0003,Korean,이상해꽃 (isanghaekkot)
0003,Chinese (Simplified),妙蛙花
0003,Chinese (Traditional),妙蛙花
0004,English,Charmander
0004,Japanese,ヒトカゲ (Hitokage)
0004,German,Glumanda
0004,French,Salamèche
0004,Italian,Charmander
0004,Spanish,Charmander
0004,Korean,파이리 (pairi)
0004,Chinese (Simplified),小火龙
0004,Chinese (Traditional),小火龍
0005,English,Charmeleon
0005,Japanese,リザード (Lizardo)
0005,German,Glutexo
0005,French,Reptincel
0005,Italian,Charmeleon
0005,Spanish,Charmeleon
0005,Korean,리자드 (rijadeu)
0005,Chinese (Simplified),火恐龙
0005,Chinese (Traditional),火恐龍
0006,English,Charizard
0006,Japanese,リザードン (Lizardon)
0006,German,Glurak
0006,French,Dracaufeu
0006,Italian,Charizard
0006,Spanish,Charizard
0006,Korean,리자몽 (rijamong)
0006,Chinese (Simplified),喷火龙
0006,Chinese (Traditional),噴火龍
0006,English,Charizard
0006,Japanese,リザードン (Lizardon)
0006,German,Glurak
0006,French,Dracaufeu
0006,Italian,Charizard
0006,Spanish,Charizard
0006,Korean,리자몽 (rijamong)
0006,Chinese (Simplified),喷火龙
0006,Chinese (Traditional),噴火龍
0006,English,Charizard
0006,Japanese,リザードン (Lizardon)
0006,German,Glurak
0006,French,Dracaufeu
