pokedex_id,move_name
0001,Take Down
0001,Charm
0001,Protect
0001,Acid Spray
0001,Trailblaze
0001,Facade
0001,Magical Leaf
0001,Venoshock
0001,Endure
0001,Sunny Day
0001,Bullet Seed
0001,False Swipe
0001,Body Slam
0001,Sleep Talk
0001,Seed Bomb
0001,Grass Knot
0001,Rest
0001,Swords Dance
0001,Substitute
0001,Giga Drain
0001,Energy Ball
0001,Helping Hand
0001,Grassy Terrain
0001,Grass Pledge
0001,Sludge Bomb
0001,Leaf Storm
0001,Solar Beam
0001,Tera Blast
0001,Toxic
0001,Knock Off
0001,Weather Ball
0001,Grassy Glide
0001,Double-Edge
0001,Curse
0002,Take Down
0002,Charm
0002,Protect
0002,Acid Spray
0002,Trailblaze
0002,Facade
0002,Magical Leaf
0002,Venoshock
0002,Endure
0002,Sunny Day
0002,Bullet Seed
0002,False Swipe
0002,Body Slam
0002,Sleep Talk
0002,Seed Bomb
0002,Grass Knot
0002,Rest
0002,Swords Dance
0002,Substitute
0002,Giga Drain
0002,Energy Ball
0002,Helping Hand
0002,Grassy Terrain
0002,Grass Pledge
0002,Sludge Bomb
0002,Leaf Storm
0002,Solar Beam
0002,Tera Blast
0002,Roar
0002,Toxic
0002,Knock Off
0002,Weather Ball
0002,Grassy Glide
0002,Double-Edge
0002,Curse
0003,Take Down
0003,Charm
0003,Scary Face
0003,Protect
0003,Acid Spray
0003,Trailblaze
0003,Facade
0003,Bulldoze
0003,Magical Leaf
0003,Venoshock
0003,Endure
0003,Sunny Day
0003,Bullet Seed
0003,False Swipe
0003,Body Slam
0003,Sleep Talk
0003,Seed Bomb
0003,Grass Knot
0003,Poison Jab
0003,Stomping Tantrum
0003,Rest
0003,Swords Dance
0003,Substitute
0003,Giga Drain
0003,Energy Ball
0003,Amnesia
0003,Helping Hand
0003,Earth Power
0003,Grassy Terrain
0003,Grass Pledge
0003,Sludge Bomb
0003,Earthquake
0003,Giga Impact
0003,Frenzy Plant
0003,Leaf Storm
0003,Hyper Beam
0003,Solar Beam
0003,Tera Blast
0003,Roar
0003,Toxic
0003,Knock Off
0003,Weather Ball
0003,Grassy Glide
0003,Double-Edge
0003,Petal Blizzard
0003,Curse
0003,Take Down
0003,Charm
0003,Scary Face
0003,Protect
0003,Acid Spray
0003,Trailblaze
0003,Facade
0003,Bulldoze
0003,Magical Leaf
0003,Venoshock
0003,Endure
0003,Sunny Day
0003,Bullet Seed
0003,False Swipe
0003,Body Slam
0003,Sleep Talk
0003,Seed Bomb
0003,Grass Knot
0003,Poison Jab
0003,Stomping Tantrum
0003,Rest
0003,Swords Dance
0003,Substitute
0003,Giga Drain
0003,Energy Ball
0003,Amnesia
0003,Helping Hand
0003,Earth Power
0003,Grassy Terrain
0003,Grass Pledge
0003,Sludge Bomb
0003,Earthquake
0003,Giga Impact
0003,Frenzy Plant
0003,Leaf Storm
0003,Hyper Beam
0003,Solar Beam
0003,Tera Blast
0003,Roar
0003,Toxic
0003,Knock Off
0003,Weather Ball
0003,Grassy Glide
0003,Double-Edge
0003,Petal Blizzard
0003,Curse
0004,Take Down
0004,Scary Face
0004,Protect
0004,Fire Fang
0004,Fire Spin
0004,Facade
0004,Metal Claw
0004,Swift
0004,Rock Tomb
0004,Flame Charge
0004,Fling
0004,Dragon Tail
0004,Endure
0004,Sunny Day
0004,Dig
0004,False Swipe
0004,Brick Break
0004,Shadow Claw
0004,Body Slam
0004,Fire Punch
0004,Thunder Punch
0004,Sleep Talk
0004,Dragon Claw
0004,Rest
0004,Rock Slide
0004,Swords Dance
0004,Dragon Dance
0004,Substitute
0004,Will-O-Wisp
0004,Crunch
0004,Dragon Pulse
0004,Heat Wave
0004,Flamethrower
0004,Helping Hand
0004,Fire Blast
0004,Fire Pledge
0004,Outrage
0004,Overheat
0004,Focus Blast
0004,Flare Blitz
0004,Tera Blast
0005,Take Down
0005,Scary Face
0005,Protect
0005,Fire Fang
0005,Fire Spin
0005,Facade
0005,Swift
0005,Rock Tomb
0005,Flame Charge
0005,Fling
0005,Dragon Tail
0005,Endure
0005,Sunny Day
0005,Dig
0005,False Swipe
0005,Brick Break
0005,Shadow Claw
0005,Body Slam
0005,Fire Punch
0005,Thunder Punch
0005,Sleep Talk
0005,Dragon Claw
0005,Rest
0005,Rock Slide
0005,Swords Dance
0005,Dragon Dance
0005,Substitute
0005,Will-O-Wisp
0005,Crunch
0005,Dragon Pulse
0005,Heat Wave
0005,Flamethrower
0005,Helping Hand
0005,Fire Blast
