Evolving_from,Evolving_to,level,item,description,type
Bulbasaur,Ivysaur,16,null,,level
Ivysaur,Venusaur,32,null,,level
Charmander,Charmeleon,16,null,,level
Charmeleon,Charizard,36,null,,level
Squirtle,Wartortle,16,null,,level
Wartortle,Blastoise,36,null,,level
Caterpie,Metapod,7,null,,level
Metapod,Butterfree,10,null,,level
Weedle,Kakuna,7,null,,level
Kakuna,Beedrill,10,null,,level
Pidgey,Pidgeotto,18,null,,level
Pidgeotto,Pidgeot,36,null,,level
Rattata,Raticate,20,null,,level
Rattata(Alolan Rattata),Raticate(Alolan Raticate),20,null,Nighttime,level
Spearow,Fearow,20,null,,level
Ekans,Arbok,22,null,,level
Sandshrew,Sandslash,22,null,,level
Nidoran♀,Nidorina,16,null,,level
Nidoran♂,Nidorino,16,null,,level
Zubat,Golbat,22,null,,level
Oddish,Gloom,21,null,,level
Paras,Parasect,24,null,,level
Venonat,Venomoth,31,null,,level
Diglett,Dugtrio,26,null,,level
Diglett(Alolan Diglett),Dugtrio(Alolan Dugtrio),26,null,,level
Meowth,Persian,28,null,,level
Meowth(Galarian Meowth),Perrserker,28,null,,level
Psyduck,Golduck,33,null,,level
Mankey,Primeape,28,null,,level
Poliwag,Poliwhirl,25,null,,level
Abra,Kadabra,16,null,,level
Machop,Machoke,28,null,,level
Bellsprout,Weepinbell,21,null,,level
Tentacool,Tentacruel,30,null,,level
Geodude,Graveler,25,null,,level
Geodude(Alolan Geodude),Graveler(Alolan Graveler),25,null,,level
Ponyta,Rapidash,40,null,,level
Ponyta(Galarian Ponyta),Rapidash(Galarian Rapidash),40,null,,level
Slowpoke,Slowbro,37,null,,level
Magnemite,Magneton,30,null,,level
Doduo,Dodrio,31,null,,level
Seel,Dewgong,34,null,,level
Grimer,Muk,38,null,,level
Grimer(Alolan Grimer),Muk(Alolan Muk),38,null,,level
Gastly,Haunter,25,null,,level
Drowzee,Hypno,26,null,,level
Krabby,Kingler,28,null,,level
Voltorb,Electrode,30,null,,level
Cubone,Marowak,28,null,outside Alola,level
Cubone,Marowak(Alolan Marowak),28,null,"Nighttime, in Alola",level
Tyrogue,Hitmonlee,20,null,Attack > Defense,level
Tyrogue,Hitmonchan,20,null,Attack < Defense,level
Tyrogue,Hitmontop,20,null,Attack = Defense,level
Koffing,Weezing,35,null,outside Galar,level
Koffing,Weezing(Galarian Weezing),35,null,in Galar,level
Rhyhorn,Rhydon,42,null,,level
Horsea,Seadra,32,null,,level
Goldeen,Seaking,33,null,,level
Mr. Mime(Galarian Mr. Mime),Mr. Rime,42,null,,level
Smoochum,Jynx,30,null,,level
Elekid,Electabuzz,30,null,,level
Magby,Magmar,30,null,,level
Magikarp,Gyarados,20,null,,level
Omanyte,Omastar,40,null,,level
Kabuto,Kabutops,40,null,,level
Dratini,Dragonair,30,null,,level
Dragonair,Dragonite,55,null,,level
Chikorita,Bayleef,16,null,,level
Bayleef,Meganium,32,null,,level
Cyndaquil,Quilava,14,null,or Level 17 in Legends: Arceus,level
Quilava,Typhlosion,36,null,,level
Quilava,Typhlosion(Hisuian Typhlosion),36,null,in Legends: Arceus,level
Totodile,Croconaw,18,null,,level
Croconaw,Feraligatr,30,null,,level
Sentret,Furret,15,null,,level
Hoothoot,Noctowl,20,null,,level
Ledyba,Ledian,18,null,,level
Spinarak,Ariados,22,null,,level
Chinchou,Lanturn,27,null,,level
Natu,Xatu,25,null,,level
Mareep,Flaaffy,15,null,,level
Flaaffy,Ampharos,30,null,,level
Marill,Azumarill,18,null,,level
Hoppip,Skiploom,18,null,,level
Skiploom,Jumpluff,27,null,,level
Wooper,Quagsire,20,null,,level
Wooper(Paldean Wooper),Clodsire,20,null,,level
Wynaut,Wobbuffet,15,null,,level
Pineco,Forretress,31,null,,level
Snubbull,Granbull,23,null,,level
Teddiursa,Ursaring,30,null,,level
Slugma,Magcargo,38,null,,level
Swinub,Piloswine,33,null,,level
Remoraid,Octillery,25,null,,level
Houndour,Houndoom,24,null,,level
Phanpy,Donphan,25,null,,level
Larvitar,Pupitar,30,null,,level
Pupitar,Tyranitar,55,null,,level
Treecko,Grovyle,16,null,,level
Grovyle,Sceptile,36,null,,level
Torchic,Combusken,16,null,,level
Combusken,Blaziken,36,null,,level
